canonical_or_candidate,observed_form,candidate_type,confidence,suggested_reference_name,reference_similarity,sources,sample_occurrences,first_video,first_timestamp,first_youtube_url,first_context
Ted Cruz,Ted Cruz,canonical_or_alias,high,Ted Cruz,1.0,Whisper; YouTube captions,2,"1/2 HasanAbi March 22, 2022 – SCOTUS Senate Hearing, China Boeing 737 Crash w/ Austin, Trump on UA🇺🇦",02:11:02,https://www.youtube.com/watch?v=6UU4mD3d90Q&t=7862s,…existing one you mean right yeah I agree with that for sure right only white people are racist no one else dude shut the fuck up shut up shut up Ted Cruz is awesome yes TPL blame white people dude you are so fucking brain
The American,The American,unverified_candidate,medium,,0.75,Whisper; YouTube captions,2,"HasanAbi April 18, 2025 – Live w/ KNEEPCAP at Coachella",00:28:31,https://www.youtube.com/watch?v=2zzyqxWzQuc&t=1711s,"…u have no idea what we're talking about, but Cutie Cinderella's experiencing a booboo lemon crisis. She did talk about it last week, too, yeah. The American economy might crash because of booboo lemons. Yeah. What is it? Like, what is a booboo lemon? What is that? Okay. It's a little booboo. Little…"
The IRGC,The IRGC,unverified_candidate,medium,,0.667,Whisper; YouTube captions,2,"HasanAbi April 3, 2026 –",04:13:04,https://www.youtube.com/watch?v=aPgeOA4mWqg&t=15184s,"So the, the real Iranian Navy that exists is still very much in operation. The IRGC's Navy is still very much in operation. Those are the guys that are pushing the ships through and, and collecting a toll in the process. So it's…"
TV Dylan,TV Dylan,unverified_candidate,medium,,0.667,Whisper; YouTube captions,2,"HasanAbi January 13, 2025 – XianDivyne visits, NBC interview, 60 minutes on Israel, RedNote",06:31:28,https://www.youtube.com/watch?v=dcVUm8Z6wVA&t=23488s,"…We look at the aesthetics It's insane then over here you get your like lounge area you get a bit of fruit You're probably wondering where is the TV Dylan? Well, let me show you here's a clue. So you go here Yeah, still rocking the Android and you click projector drop screen dropping dropping droppi…"
Upper Peninsula,Upper Peninsula,unverified_candidate,medium,,0.519,Whisper; YouTube captions,2,"HasanAbi April 19, 2026 –",01:35:33,https://www.youtube.com/watch?v=FyI1n2mp8L4&t=5733s,"…itten that book. And the reason I know it's viable is because I've taken this campaign all over the state. I was in Houghton, which is in the Upper Peninsula as Upper Peninsula. And we had 100 people in a room, many of whom voted for Donald Trump, who were there to have a conversation about what it…"
Wilson County,Wilson County,unverified_candidate,medium,,0.64,Whisper; YouTube captions,2,"HasanAbi May 26, 2026 – Stavros Halkias visits, NYC Day 4",05:51:08,https://www.youtube.com/watch?v=ncia81WO8dg&t=21068s,"…n the Republican side. This is Luan's base and he is leading here in the early vote in Bear County, but then you get outside of it, you get to Wilson County, you get down here in Carnes County. These are much more significant pieces of real estate on the Republican side, probably about a close to a…"
Abdul El-Sayed,Abdul El Sayed,canonical_or_alias,high,Abdul El-Sayed,1.0,Whisper,1,"HasanAbi April 3, 2026 –",06:09:28,https://www.youtube.com/watch?v=aPgeOA4mWqg&t=22168s,"…white woman. You can't make that same argument about them. You can make it. However, about Zoram, I'm Donnie, you can make that argument about Abdul El Sayed. You can make that argument about myself. And that is because there is a lot of unexamined Islamophobia. I don't talk about it too much becaus…"
Add Keck,Add Keck,unverified_candidate,low,,0.526,Whisper,1,"[4/07/2021] – Hasan goes offline early, chat seeks refuge with Mizkif (Poki Roomtour/OKBUDDY/Crypto)",00:05:23,https://www.youtube.com/watch?v=7jG9CBFRHQE&t=323s,"…? Theater mode? Does this look good? Does this look good? All right, mods. Add it literally for this one video and then I'm not doing it. Add it. Add Keck W for this one video and then we're never doing it again. Ever, okay? We'll add it for one day. Oh, I do need volume booster. You're right. Oh, G…"
Against Omicron,Against Omicron,unverified_candidate,low,,0.595,Whisper,1,"1/2 HasanAbi December 30, 2021 – LeBrons Insta Meme, Dershowitz on Maxwell Verdict, Tesla Recall",01:53:51,https://www.youtube.com/watch?v=GpukXqD5DME&t=6831s,"…icity. If you want to do surveillance in which you're going to be repeating a test more than once, the antigen test is a good way to do that. Against Omicron, the sensitivity is somewhat diminished, but not enough to make the tests not useful. They are still useful under the circumstances of broad…"
Aiden Ross,Aiden Ross,unverified_candidate,medium,Adin Ross,0.842,Whisper,1,"2/2 HasanAbi May 26, 2021 – LSF, New Twitch Atlas, 90 DAY FIANCE 🎮FINISHING Mario Odyssey🎮 FULL VOD",00:06:32,https://www.youtube.com/watch?v=UE7qFMkq8fk&t=392s,…dy said the one where they said you dressed like you're poor The thing you're just getting death threats is low We got a bunch after him calling Aiden Ross a normie Dude the the people that want to murder me are a little bit different than like 14-year-old kids on the internet Who act like they're b…
Al-Aqsa Mosque,Al-Aqsa Mosque,unverified_candidate,low,,0.467,Whisper,1,"2/2 HasanAbi May 10, 2021 – 90 DAY, yelling at tweets about the Israel-Palestine situation FULL VOD",00:26:12,https://www.youtube.com/watch?v=efOqmjyE1RU&t=1572s,"acts at Al-Aqsa Mosque. We will hold you accountable, Israeli intelligence because we're likely using a GPS system like the one for Corona outbreaks. Self-defense is…"
Alaska This,Alaska This,unverified_candidate,low,,0.571,Whisper,1,"1/2 HasanAbi June 12, 2021 – E3!, Mormon Church REACT, Guess Whos the Sex Worker & Cheerleader REACT",00:51:57,https://www.youtube.com/watch?v=Z8_DfMXbL1Q&t=3117s,"The parasite has spread to three new regions Emerging and several containment zones within New York, San Francisco and Alaska This is what we know so far Within the containment zones the alien ecosystem is in a continual evolution As incubation nests and their sprawling tis…"
Alex Prey,Alex Prey,unverified_candidate,medium,Alex Press,0.842,YouTube captions,1,"HasanAbi January 25, 2026 – Back in LA!",05:24:11,https://www.youtube.com/watch?v=yJw1IWPR9Ms&t=19451s,"…ason than to obscure their identity and prevent accountability. Obviously, the shootings are unjustified. But the entire situation that recently Alex Prey unfortunately found himself in and the woman next to him, they should not have been pushed aside by these puditive federal officers for exercisi…"
And Ape,And Ape,unverified_candidate,low,,0.667,Whisper,1,"HasanAbi January 25, 2026 – Back in LA!",01:59:54,https://www.youtube.com/watch?v=yJw1IWPR9Ms&t=7194s,"…t think you're actually capable of that. Um, if we're being super sincere, uh, because you're still trying to actively defend this sort of thing. And Ape actually knows how to protect itself and Ape knows how to protect its own community. You don't, you clearly don't, you are demanding that the adm…"
And Hassan,And Hassan,unverified_candidate,low,,0.667,YouTube captions,1,"HasanAbi August 3, 2026 – back in Michigan",03:19:41,https://www.youtube.com/watch?v=UF7XaBBLBQo&t=11981s,"…ime. >> Hell yeah. All right. Perfect. >> When are you guys going to start? >> I don't know. Um probably after the press scrum. >> I suspect. >> And Hassan, I know you're going to the Abdul watch party, but you know, obviously we want you at ours. You can come just for a few minutes tomorrow. >> Sur…"
Angola Prison Rodeo,Angola Prison Rodeo,unverified_candidate,low,,0.514,YouTube captions,1,"HasanAbi January 13, 2025 – XianDivyne visits, NBC interview, 60 minutes on Israel, RedNote",05:00:49,https://www.youtube.com/watch?v=dcVUm8Z6wVA&t=18049s,say although before you lock into MSNBC do you know about the Angola Prison Rodeo yeah of course dude it's what I'm from like mad close to there and I don't know what people know about that [ __ ] have you ever talked abo…
Anthony Blinken,Anthony Blinken,unverified_candidate,low,,0.667,Whisper,1,"HasanAbi January 13, 2025 – XianDivyne visits, NBC interview, 60 minutes on Israel, RedNote",03:26:02,https://www.youtube.com/watch?v=dcVUm8Z6wVA&t=12362s,"…Israeli narrative is that it has been Hamas hindering your obstructing, obstructing the ceasefire deal in Gaza. And that is an epic lie that Anthony Blinken has promoted more than anyone else on the planet. All right. Hassan, let the boy speak them out. Okay. No, no, no, I'm chilling. I'm just her…"
Anton Castillo,Anton Castillo,unverified_candidate,low,,0.69,Whisper,1,"2/2 HasanAbi October 6, 2021 – Dave Chappelle on Transgender, Chatter in Jubilee Vid,DUNKEY, FAR CRY",02:46:16,https://www.youtube.com/watch?v=yfHCqfsRUQg&t=9976s,"…cking guerrillas that were a part of the revolution. Dude, you literally just don't understand the game story because you don't pay attention. Anton Castillo never led a revolution. He was elected in the power many years after his father was overturned in the 67 revolution. So yeah, I think Anton Ca…"
Apparently Unless,Apparently Unless,unverified_candidate,low,,0.5,Whisper,1,"2/2 HasanAbi February 2, 2022 –MasterChef S06, Old clips from Spain, Murats IRL cam setup, 🎮Pokémon🎮",00:13:01,https://www.youtube.com/watch?v=8dzD6DLGUTA&t=781s,"…New England area Like, you have to do the crab dish How's the rice going? The rice is no good The rice is too wet Is the rice off the menu? Apparently Unless you can tell us how we can save it Look at this one"
Assessing Jewish,Assessing Jewish,unverified_candidate,low,,0.5,Whisper,1,"HasanAbi August 15, 2024 – Harris economic policy, Trump press conference, Black people & Palestine",00:12:02,https://www.youtube.com/watch?v=hEWLqoJ5ooc&t=722s,I submit it to be anti-tying Assessing Jewish brothers and sisters out there by Then in solidarity and screaming free Palestine With the organizing and learning And finally cutting stars…
Barack Obama,Barack Obama,unverified_candidate,low,,0.609,YouTube captions,1,"HasanAbi May 26, 2026 – Stavros Halkias visits, NYC Day 4",04:29:49,https://www.youtube.com/watch?v=ncia81WO8dg&t=16189s,"…think it was a pretty standard dick. >> Yeah, it's not just attention seekers on the internet obsessing over penis size. Last year at the DNC, Barack Obama used his hands to suggest the current president is below average. in March. This is such a classic New York magazine article where they have to…"
Bayer County,Bayer County,unverified_candidate,low,,0.667,YouTube captions,1,"HasanAbi May 26, 2026 – Stavros Halkias visits, NYC Day 4",05:51:08,https://www.youtube.com/watch?v=ncia81WO8dg&t=21068s,"…know Bayer is a little bit less than half the vote on the Republican side. This is Luhan's base and he is leading here uh in the early vote in Bayer County, but then you get outside of it, you get to Wilson County, you get down here in K County, these are much more significant pieces of real estate…"
Ben Cohen,Ben Cohen,unverified_candidate,low,,0.636,Whisper,1,"HasanAbi January 20, 2025 – TRUMP INAUGURATION 2 - Electric Boogaloo, Elon Musk salute",00:26:25,https://www.youtube.com/watch?v=vIRVK9Dulsw&t=1585s,"…erything is bad and it will continue getting worse. And I don't mean that because like, oh, I got owned and Donald Trump is, is wait, oh my God, Ben Cohen"
Benjamin Netanyahu,Benjamin Netanyahu,unverified_candidate,low,,0.5,YouTube captions,1,"HasanAbi April 19, 2026 –",04:18:23,https://www.youtube.com/watch?v=FyI1n2mp8L4&t=15503s,"…za, which was also invented by Israel. That's right, tacos, another Israeli invention. I wake up every morning and I thank God. I thank God. Benjamin Netanyahu, that's who my God is. I thank him. I have an altar dedicated to him and I think to"
Black Dodge Chargers,Black Dodge Chargers,unverified_candidate,low,,0.541,Whisper,1,"[4/07/2021] – Hasan goes offline early, chat seeks refuge with Mizkif (Poki Roomtour/OKBUDDY/Crypto)",00:05:23,https://www.youtube.com/watch?v=7jG9CBFRHQE&t=323s,"…right. Oh, God. I'm so unprepared for class today. One day, but you're going to ruin it. You're absolutely going to ruin it. Wait, what did Black Dodge Chargers say?"
Black Lives Matter,Black Lives Matter,unverified_candidate,low,,0.722,YouTube captions,1,"HasanAbi August 3, 2026 – back in Michigan",04:51:32,https://www.youtube.com/watch?v=UF7XaBBLBQo&t=17492s,">> Was it like your opinions on like Palestine? >> No, I think uh initially it was Black Lives Matter during co when George Floyd protests were happening. I had always been uh pro police reform, pro criminal justice reform. I had talked exten…"
Bo Heinz Good Bo,Bo Heinz Good Bo,unverified_candidate,low,,0.467,Whisper,1,"HasanAbi March 7, 2025 – Noah Kulwin (BlowBack) is still here, 🎮Marvel Rivals🎮",01:51:07,https://www.youtube.com/watch?v=i8YmtStCJJo&t=6667s,"Representative Brian style Thank you, Brian. Thank you very much digital assets council director Bo Heinz Good Bo great job and many other distinguished guests. We have a lot of very distinguished people around the table Some of them will be speaking. I w…"
Borough Park,Borough Park,unverified_candidate,low,,0.5,Whisper,1,"2/2 HasanAbi May 10, 2021 – 90 DAY, yelling at tweets about the Israel-Palestine situation FULL VOD",00:38:15,https://www.youtube.com/watch?v=efOqmjyE1RU&t=2295s,"So having said that, another action that Brooklyn dude is 100% from my neighborhood, Borough Park. I feel so embarrassed. They're sick in the head and don't want them claiming ignorance. The other part about this that is fucking awesome, gre…"
Brian Style,Brian Style,unverified_candidate,low,,0.64,YouTube captions,1,"HasanAbi March 7, 2025 – Noah Kulwin (BlowBack) is still here, 🎮Marvel Rivals🎮",01:51:07,https://www.youtube.com/watch?v=i8YmtStCJJo&t=6667s,fam House Majority Whip Tom emmer hello hello Tom representative Brian Style thank you Brian thank you very much digital assets Council director Bo hin good Bo great job and many other distinguished guests we have a lot…
But Maxwell,But Maxwell,unverified_candidate,low,,0.571,Whisper,1,"1/2 HasanAbi November 29, 2021 – New Twitter CEO, Ghislaine Maxwell Trial, Omicron Variant",03:32:17,https://www.youtube.com/watch?v=RP8ec-blRTw&t=12737s,…90s Epstein and Maxwell whom Epstein once called his best friend rubbed elbows with philanthropists business leaders heads of state and royalty But Maxwell appeared to distance herself from Epstein in the years before his 2019 death in a 2016 civil suit What would he gain from killing himself is su…
Bye Holy,Bye Holy,unverified_candidate,low,,0.556,Whisper,1,"[4/07/2021] – Hasan goes offline early, chat seeks refuge with Mizkif (Poki Roomtour/OKBUDDY/Crypto)",00:53:54,https://www.youtube.com/watch?v=7jG9CBFRHQE&t=3234s,"…you grew up so fast. I'll see you here. Well, you you promise All right, do you need to know my address? How much longer? Like 30 minutes. Okay. Bye Holy fuck Dude, I stole what pokeman's doing chat. I'm gonna start having stickers so she gets these stickers Shift to her dude. I can't say that thre…"
Cabba House,Cabba House,unverified_candidate,low,,0.6,YouTube captions,1,"HasanAbi July 11, 2025 – NYC Day 5, Hasan Minhaj visits, interviewing Mahmoud Khalil",03:43:56,https://www.youtube.com/watch?v=g_ckJoumpP0&t=13436s,…cious. >> We're leaving actually. >> Yeah. >> One of the Taja houses around the country. >> Yeah. >> Thank you. >> Yeah. Thank you to Omar from Cabba House as well >> for allowing us to use this space to have this conversation. This is
Caitlin Collins,Caitlin Collins,unverified_candidate,low,,0.714,Whisper,1,"HasanAbi July 11, 2025 – NYC Day 5, Hasan Minhaj visits, interviewing Mahmoud Khalil",07:05:29,https://www.youtube.com/watch?v=g_ckJoumpP0&t=25529s,"…e other day in the cabinet, we're asking, you know, who still cares about this? One thing we know is the MAGA base certainly does. All right, Caitlin Collins, thanks so much for that. We'll check back with you as you learn more CNN, senior justice correspondent Evan Perez is also with us. And so Ev…"
Caitlyn Collins,Caitlyn Collins,unverified_candidate,low,,0.643,YouTube captions,1,"HasanAbi July 11, 2025 – NYC Day 5, Hasan Minhaj visits, interviewing Mahmoud Khalil",07:05:29,https://www.youtube.com/watch?v=g_ckJoumpP0&t=25529s,"…day and the the cabinet rooms asking, you know, who still cares about this. One thing we know is the MAGA base certainly does. >> All right, Caitlyn Collins, uh, thanks so much for that. We'll check back with you as you learn more. Uh CNN senior justice correspondent Evan Perez is also with us. An…"
Capital Siege,Capital Siege,unverified_candidate,low,,0.583,YouTube captions,1,"1/2 HasanAbi November 1, 2021 – TUCKER JAN 6th Doc, NFT Theft, COP26, Elon Musk ends world hunger?",04:29:57,https://www.youtube.com/watch?v=-XxGMtNTS9s&t=16197s,Capital Siege of 1 6. to an event that has now evaporated from memory and from the national Consciousness and that is the so-called Whitmer kidnapping plot…
Car Island,Car Island,unverified_candidate,low,,0.609,YouTube captions,1,"HasanAbi April 3, 2026 –",04:13:04,https://www.youtube.com/watch?v=aPgeOA4mWqg&t=15184s,"…hat they had a clear understanding. They said the most important part of his speech is that he didn't say boots on the ground. He didn't mention Car Island. He didn't mention um yes, he mentioned an escalation when it came to air strikes, but he didn't mention uh crossing a red line in which a lot o…"
Carl Marx,Carl Marx,unverified_candidate,medium,Karl Marx,0.889,Whisper,1,"2/2 HasanAbi September 13, 2021 – AOC at the MET GALA, Making fun of Preppers, OKBUDDY",03:34:32,https://www.youtube.com/watch?v=MmJgjK3Zsy4&t=12872s,"…even happen, dude? 400. I'm not sure if you saw this. This one's going to get people roaring, dude. Who wrote Daz Capital? We saw this already. Carl Marx! So sad to see these teenage dads. This was ill prepared. They didn't go this far. No, it's nice because Assange's helicopter pad is really dirt…"
Carnes County,Carnes County,unverified_candidate,low,,0.64,Whisper,1,"HasanAbi May 26, 2026 – Stavros Halkias visits, NYC Day 4",05:51:08,https://www.youtube.com/watch?v=ncia81WO8dg&t=21068s,"…s base and he is leading here in the early vote in Bear County, but then you get outside of it, you get to Wilson County, you get down here in Carnes County. These are much more significant pieces of real estate on the Republican side, probably about a close to a quarter of the vote will come out o…"
Chelsea Clinton,Chelsea Clinton,unverified_candidate,low,,0.667,Whisper,1,"1/2 HasanAbi November 29, 2021 – New Twitter CEO, Ghislaine Maxwell Trial, Omicron Variant",03:32:17,https://www.youtube.com/watch?v=RP8ec-blRTw&t=12737s,…You know the world's like most prolific Socialite sex trafficker that literally was like homies will fucking Bill and Hillary Clinton who had Chelsea Clinton come
Chosen One,Chosen One,unverified_candidate,low,,0.706,YouTube captions,1,[15/11/2024] –🏀 OTK Gameday Basketball Event ft. HasanAbi,00:48:50,https://www.youtube.com/watch?v=MnCX6pnvxcc&t=2930s,…bad for him let's talk about the man who just keeps making things worse none other than nmp L one could say he's Icarus I say he is the son The Chosen One none other than Nick palum ladies and gentlemen this is Nick's event and he has structured everything to make him look good he really has uh he…
Cipher PK,Cipher PK,unverified_candidate,low,,0.526,YouTube captions,1,[15/11/2024] –🏀 OTK Gameday Basketball Event ft. HasanAbi,01:30:27,https://www.youtube.com/watch?v=MnCX6pnvxcc&t=5427s,…ly button just like they teach you uh Hassan [ __ ] showing some frustration on the court oh what the hell was that ah Dean so far from the ball Cipher PK really just launching that one into orbit here
City Council,City Council,unverified_candidate,low,,0.571,Whisper,1,"HasanAbi August 3, 2026 – back in Michigan",03:19:41,https://www.youtube.com/watch?v=UF7XaBBLBQo&t=11981s,"We're going to hopefully have a slate ready for City Council. So, it'll be a good time. Hell yeah. All right. Perfect. When are you guys going to start this? I don't know. Probably after the press scrum.…"
City Hall,City Hall,unverified_candidate,low,,0.6,YouTube captions,1,"HasanAbi April 19, 2026 –",05:36:15,https://www.youtube.com/watch?v=FyI1n2mp8L4&t=20175s,"…h those with whom we disagree. And it is all too easy amidst all of this to try and hide yourself from the world, to try and live only inside of City Hall or in your armored vehicle. But we always know that to best understand New Yorkers, you have to live like New Yorkers. And that's why I'll take…"
CNN MS,CNN MS,unverified_candidate,low,,0.533,Whisper,1,"HasanAbi April 19, 2026 –",00:17:41,https://www.youtube.com/watch?v=FyI1n2mp8L4&t=1061s,"…any case ladies and gentlemen a northern line mentioned Yeah, that's what I got that's all I got Personal news wise you were on all three networks CNN MS now and Fox News the Trump thugs to blow up the entire country of Iran That's pretty cool. Hamas a thousand times better than this one machine-rai…"
Comet Pizza,Comet Pizza,unverified_candidate,low,,0.5,YouTube captions,1,"HasanAbi November 29, 2022 – RAIL STRIKE, US vs Iran ⚽, Liver King isn't natty?, Crowder on Kanye",00:22:37,https://www.youtube.com/watch?v=AYjjdzauaao&t=1357s,…country that have done things like this there's Democratic Congress persons that have you know done similar things as well and then there's the Comet Pizza of pedophilia you know what I mean the pizza gate okay which is a [ __ ] insane thing okay that's the problem the issue is I couldn't even talk…
Cosmic Yan,Cosmic Yan,unverified_candidate,low,,0.571,YouTube captions,1,"HasanAbi June 16, 2026 –",06:55:20,https://www.youtube.com/watch?v=M_Gbk-hkNfM&t=24920s,"…ed to say for their domestic politics. Once again, Hassan betrays the movement. Yeah. Yes, this is my tweet, but can you please look at Oh, it's Cosmic Yan. I was like, Tblationian, I know who this is. It's not you. [laughter]"
Cypher Threading,Cypher Threading,unverified_candidate,low,,0.645,Whisper,1,[15/11/2024] –🏀 OTK Gameday Basketball Event ft. HasanAbi,01:30:27,https://www.youtube.com/watch?v=MnCX6pnvxcc&t=5427s,"…man nil nil here Hey Zero-point scored on 42 shots 2-1 coming away with the first two points first two points of the day, which is a shock. I Cypher Threading that needle with the assist and look at that form shooting right from the belly button just like they teach you a Son piker showing some frus…"
Dalia Liza,Dalia Liza,unverified_candidate,low,,0.64,Whisper,1,"HasanAbi June 16, 2026 –",05:19:09,https://www.youtube.com/watch?v=M_Gbk-hkNfM&t=19149s,"…y the peak says that she denies machine politician recognizes that machine politics doesn't work anymore is trying to fucking flip the script on Dalia Liza, the insurgent campaign. Next question actually is on this topic. So we're definitely want to give you a chance to respond. Mr. Villa Chevalier,…"
Dan Raisen Kaine,Dan Raisen Kaine,unverified_candidate,low,,0.571,YouTube captions,1,"HasanAbi April 3, 2026 –",02:16:39,https://www.youtube.com/watch?v=aPgeOA4mWqg&t=8199s,"…about the political and economic crisis. That's from the um that's from the Time article, right? This is the same thing that General Raisin, Dan Raisen Kaine did in the leadup when the naval assets were building up in the region. If you"
Daria Alisa,Daria Alisa,unverified_candidate,low,,0.667,YouTube captions,1,"HasanAbi June 16, 2026 –",05:19:09,https://www.youtube.com/watch?v=M_Gbk-hkNfM&t=19149s,…e peak. says that she denies >> machine politician recognizes that machine politics doesn't work anymore is trying to [ __ ] flip the script on Daria Alisa the insurgent campaign. >> Our next question actually is on this topic. So we definitely want to give you a chance to respond Chevier. Your can…
David Dobrik,David Dobrik,unverified_candidate,low,,0.545,Whisper,1,"2/2 HasanAbi September 13, 2021 – AOC at the MET GALA, Making fun of Preppers, OKBUDDY",01:19:21,https://www.youtube.com/watch?v=MmJgjK3Zsy4&t=4761s,…ucking controversies and because I've like I have an audience outside of twitch you at the Met okay bro stop sending me your own tweets okay so David Dobrik is Slovakian youtuber and
Daz Capital,Daz Capital,unverified_candidate,low,,0.692,Whisper,1,"2/2 HasanAbi September 13, 2021 – AOC at the MET GALA, Making fun of Preppers, OKBUDDY",03:34:32,https://www.youtube.com/watch?v=MmJgjK3Zsy4&t=12872s,"How does that even happen, dude? 400. I'm not sure if you saw this. This one's going to get people roaring, dude. Who wrote Daz Capital? We saw this already. Carl Marx! So sad to see these teenage dads. This was ill prepared. They didn't go this far. No, it's nice because Assang…"
Delta MD,Delta MD,unverified_candidate,low,,0.571,Whisper,1,"1/2 HasanAbi April 18, 2021 - FUNDAY, Looking at Cars with MURAT, P.O. BOX, LSF  FULL VOD",01:46:54,https://www.youtube.com/watch?v=GSFoXDxBzyM&t=6414s,life fishpats Delta MD skincare UV clear broad spectrum SPS 46 daily moisture lightweight poor minimizing moisturizer for normal or oily skin what the fuck is this dude…
Democratic Socialism,Democratic Socialism,unverified_candidate,low,,0.581,YouTube captions,1,"HasanAbi April 19, 2026 –",05:36:15,https://www.youtube.com/watch?v=FyI1n2mp8L4&t=20175s,"…Mayor Adams, you are the first Democratic Socialist Mayor of New York. Now that you have reached 100 days in office, how do you define what Democratic Socialism means in practice? >> You know, it is the belief that democracy should extend from the ballot box to the rest of our lives. It's the belief…"
Democratic Socialist Mayor,Democratic Socialist Mayor,unverified_candidate,low,,0.49,YouTube captions,1,"HasanAbi April 19, 2026 –",05:36:15,https://www.youtube.com/watch?v=FyI1n2mp8L4&t=20175s,"…at's myself, I'm not going to be able to fight for everyone who calls the city home. >> And just finally, Mayor Adams, you are the first Democratic Socialist Mayor of New York. Now that you have reached 100 days in office, how do you define what Democratic Socialism means in practice? >> You know, i…"
DNC Barack Obama,DNC Barack Obama,unverified_candidate,low,,0.545,Whisper,1,"HasanAbi May 26, 2026 – Stavros Halkias visits, NYC Day 4",04:29:49,https://www.youtube.com/watch?v=ncia81WO8dg&t=16189s,…Zuck. I think it was a pretty standard dick. Yeah. It's not just attention to get on the Internet obsessing over penis size. Last year at the DNC Barack Obama uses hands to suggest the current president is below average in March. This is such a classic New York magazine article where they have to li…
Do Palestinians,Do Palestinians,unverified_candidate,low,,0.727,Whisper,1,"2/2 HasanAbi May 10, 2021 – 90 DAY, yelling at tweets about the Israel-Palestine situation FULL VOD",00:26:12,https://www.youtube.com/watch?v=efOqmjyE1RU&t=1572s,"…bout what you said about the principle of self-defense. Does that in any way apply to the Palestinians? Do they have a right to self-defense? Do Palestinians have a right to self-defense? In broadly speaking, Said, we believe in the concept of self-defense, we believe it applies to any state. I don…"
Don Quixote,Don Quixote,unverified_candidate,low,,0.522,Whisper,1,"1/2 HasanAbi March 22, 2022 – SCOTUS Senate Hearing, China Boeing 737 Crash w/ Austin, Trump on UA🇺🇦",03:11:18,https://www.youtube.com/watch?v=6UU4mD3d90Q&t=11478s,"…blade. So, you know, but the wind is very... Bro, Donald Trump fucking despises wind turbines. It's so funny. Like what happened? My man is the Don Quixote of fucking... He's a Don Quixote of renewable energy, dude. He literally is like, every time I see a windmill, I lose my shit, okay?"
Drake What,Drake What,unverified_candidate,low,,0.667,Whisper,1,"HasanAbi August 15, 2024 – Harris economic policy, Trump press conference, Black people & Palestine",00:12:02,https://www.youtube.com/watch?v=hEWLqoJ5ooc&t=722s,…gotta say? If I was on a label you could drop me today I'd be fine with it cause the heart fed my page I want to cease fire Fuck a response from Drake What you willing to risk?
Dude Fox News,Dude Fox News,unverified_candidate,low,,0.486,Whisper,1,"1/2 HasanAbi December 30, 2021 – LeBrons Insta Meme, Dershowitz on Maxwell Verdict, Tesla Recall",02:46:13,https://www.youtube.com/watch?v=GpukXqD5DME&t=9973s,"Dude Fox News had better Journalistic integrity then the BBC I'm dying. I'm a oh oh my god. Oh My god. Oh, I'm so glad we saw this Fox News had better Journ…"
Elissa Slotkin,Elissa Slotkin,unverified_candidate,low,,0.643,YouTube captions,1,"HasanAbi April 19, 2026 –",00:17:41,https://www.youtube.com/watch?v=FyI1n2mp8L4&t=1061s,"…untry of Iran. That's pretty cool. Hamas a thousand times better than Israel. Michigan raised device Democrats over Israel and party's future. Elissa Slotkin criticized for campaigning with streamer Hasan [ __ ] Senator Scott on feud with Yale over Hasan [ __ ] Yeah, when when the thing when things…"
Emma Vigland,Emma Vigland,unverified_candidate,medium,Emma Vigeland,0.96,YouTube captions,1,"HasanAbi April 3, 2026 –",06:09:28,https://www.youtube.com/watch?v=aPgeOA4mWqg&t=22168s,"[ __ ] mind."" Emma Vigland for example you know majority report Sam Cedar is Jewish Emma Vigland is a white woman you can't make that same argument about them you can mak…"
Emma Viglent,Emma Viglent,unverified_candidate,low,,0.8,Whisper,1,"HasanAbi April 3, 2026 –",06:09:28,https://www.youtube.com/watch?v=aPgeOA4mWqg&t=22168s,"for example, you know, majority report, Sam Cedars Jewish, Emma Viglent is a white woman. You can't make that same argument about them. You can make it. However, about Zoram, I'm Donnie, you can make that argument a…"
Eric Prince,Eric Prince,unverified_candidate,low,,0.615,Whisper,1,"HasanAbi October 21, 2024 – Israel-Lebanon, Maya Higa visits (Animal s*x), Gülen dead, Ethan H3",05:31:41,https://www.youtube.com/watch?v=P4plSZ5Im1A&t=19901s,"Is really American businessman pitching $200 million plan to deploy mercenaries in Gaza? What the fuck? It involves Eric Prince, Stuart Soldowitz, the ex-Obama official who fucking harassed the Halal truck and got fired, a green beret who worked with the CIA, the man at…"
Eric Prince Stuart Switz,Eric Prince Stuart Switz,unverified_candidate,low,,0.528,YouTube captions,1,"HasanAbi October 21, 2024 – Israel-Lebanon, Maya Higa visits (Animal s*x), Gülen dead, Ethan H3",05:31:41,https://www.youtube.com/watch?v=P4plSZ5Im1A&t=19901s,new drop sign news Israel American businessman pitching 200 million plan to deploy mercenaries in Gaza what the [ __ ] it involves Eric Prince Stuart Switz the ex Obama official who [ __ ] harassed the Halal truck and got fired a Green Beret who worked with the CIA the man at the center is a…
Especially New York,Especially New York,unverified_candidate,low,,0.526,YouTube captions,1,"HasanAbi May 26, 2026 – Stavros Halkias visits, NYC Day 4",03:04:48,https://www.youtube.com/watch?v=ncia81WO8dg&t=11088s,"…this."" >> No, but he just thinks he's the man. >> Yeah. And people will forever bring this up and hold you to account. They'll be like, >> ""Especially New York. You're in New York. You remember when you went up and defended the Epstein affiliate pedophile [laughter] president, which I don't believe…"
